  [claude-sonnet-4-6] Progress: 16/8190 (0.2%) | ETA: 54.8m | Rate: 2.5 calls/s
  [claude-sonnet-4-6] Progress: 8000/8190 (97.7%) | ETA: 1.5m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8016/8190 (97.9%) | ETA: 1.4m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8032/8190 (98.1%) | ETA: 1.3m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8048/8190 (98.3%) | ETA: 1.1m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8064/8190 (98.5%) | ETA: 1.0m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8080/8190 (98.7%) | ETA: 0.9m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8096/8190 (98.9%) | ETA: 0.7m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8112/8190 (99.0%) | ETA: 0.6m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8128/8190 (99.2%) | ETA: 0.5m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8144/8190 (99.4%) | ETA: 0.4m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8160/8190 (99.6%) | ETA: 0.2m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8176/8190 (99.8%) | ETA: 0.1m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 8190/8190 (100.0%) | ETA: 0.0m | Rate: 2.1 calls/s
